column_id,asset_id,table_name,table_type,column_name,datatype,precision,scale,repository_name,folder_name,source_file
COL_19e19d957717de43,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,YEAR,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_9ddd332ecf7b14cd,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,PERIOD,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_3f54fc61279f1589,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,LEGAL_ENTITY,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_427620024d72f1bb,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,PERFORMANCE_UNIT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_48a97ee8270ce01e,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,CURRENCY,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_782f9090dea78373,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,ACCOUNT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_8d292dd458a5a247,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,PROJECT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_e4e3f9d53cdcb675,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,AUDITTRAIL,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_3277f34ed1b7bfd0,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,AMOUNT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_bbbe8eddeb256d70,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,ACCOUNT,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_ad21ff6ab1990b4e,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,ENTITY,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_0544710b66b41cbe,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,AUDITTRAIL,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_00893f4f084d0e81,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,CURRENCY,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_75bba2a9fcc8f8ee,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,PU,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_09499b3edbb4e55c,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,PROJECT,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_9215c571b09496d0,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,SCENARIO,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_ac5140968aa3e3eb,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,VERSION,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_a8b3a11099c3c4f8,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,YEAR,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_e9f34b108a5fc52a,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,PERIOD,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_401c236e4c58c72a,AST_6665504019cc5f88,WC_PBCS_EXEC_ACTUALS_SM_FS,SOURCE,AMOUNT,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_dafa148f9fbfd338,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,SCENARIO,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_ee12a829aa79027e,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,YEAR,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_95fd39348f90677a,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,PERIOD,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_59d2fe67c9ebd86b,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,LEGAL_ENTITY,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_21cf57ea422a293a,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,PERFORMANCE_UNIT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_6fe31d3b18c45012,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,CURRENCY,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_395b24db8fd0b1de,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,ACCOUNT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_b190ae831947cbbc,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,PROJECT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_c88adb49107ebffa,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,AUDITTRAIL,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_74eb03b8044424a7,AST_105248778a176b94,WC_PBCS_ACTUALS_MS_FS,TARGET,AMOUNT,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML
COL_e431087523461dd0,AST_def41e176f35e112,WC_ACCOUNT_DH,SOURCE,ROW_WID,number,15,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
COL_53b46d0434fe4bf9,AST_def41e176f35e112,WC_ACCOUNT_DH,SOURCE,LVL_NUM,number,15,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
COL_01b5d540f97453d5,AST_def41e176f35e112,WC_ACCOUNT_DH,SOURCE,SUMMARY_FLAG,nchar,1,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
COL_b63fa95edab433d5,AST_def41e176f35e112,WC_ACCOUNT_DH,SOURCE,AC_FLAG,nchar,1,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
COL_7ffa833d0b341fa8,AST_def41e176f35e112,WC_ACCOUNT_DH,SOURCE,ACCOUNT_NUM,nvarchar2,150,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
COL_faef7ecd08b3db28,AST_def41e176f35e112,WC_ACCOUNT_DH,SOURCE,ACCOUNT_DESC,nvarchar2,240,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
COL_3b295d9b0d576051,AST_def41e176f35e112,WC_ACCOUNT_DH,SOURCE,PAR_ACCOUNT_NUM,nvarchar2,60,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
