transformation_id,mapping_id,mapping_name,transformation_name,transformation_type,reusable_flag,attribute_count,port_count
AST_cd2cbc8e60cac005,AST_ee945dcbf48bb9bc,JEG_SDE_ORA_ProjectCostLineFact_IC,EXP_X_CUSTOM,Expression,NO,1,31
AST_c7c8e8e068bf1c9f,AST_b1272de8ed64d14e,SDE_ORA_ProjectCostLineFact_PCC,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,10
AST_459a38e046b16390,AST_b1272de8ed64d14e,SDE_ORA_ProjectCostLineFact_PCC,EXP_X_CUSTOM,Expression,NO,1,53
AST_ae2db3277c8e680f,AST_abf31c5465cdde5e,SIL_EmployeeDimension,Upd_W_EMPLOYEE_D_Ins_Upd,Update Strategy,NO,3,280
AST_39a3d7cc1a5a669f,AST_abf31c5465cdde5e,SIL_EmployeeDimension,Fil_W_EMPLOYEE_D,Filter,NO,2,276
AST_dca20ee721f3b6d9,AST_abf31c5465cdde5e,SIL_EmployeeDimension,Sq_W_EMPLOYEE_DS,Source Qualifier,NO,11,308
AST_a688b9594372b153,AST_abf31c5465cdde5e,SIL_EmployeeDimension,Exp_Custom,Expression,NO,1,34
AST_6003f862422d49c9,AST_abf31c5465cdde5e,SIL_EmployeeDimension,Lkp_W_EMPLOYEE_D,Lookup Procedure,NO,32,49
AST_39d5442839c82103,AST_abf31c5465cdde5e,SIL_EmployeeDimension,Exp_W_EMPLOYEE_D_Update_Flg,Expression,NO,1,379
AST_5afe8600f1b179e6,AST_9946c14212d92216,SIL_EmployeeDimension_SCDUpdate,LKP_PER_ALL_PEOPLE_F,Lookup Procedure,NO,32,5
AST_e39568f1497b3d7c,AST_9946c14212d92216,SIL_EmployeeDimension_SCDUpdate,Fil_W_EMPLOYEE_D_Scd_Update,Filter,NO,2,118
AST_4911ef0cb58f77b2,AST_9946c14212d92216,SIL_EmployeeDimension_SCDUpdate,Exp_W_EMPLOYEE_D_Scd_Update,Expression,NO,1,361
AST_0a9da11858f857c1,AST_9946c14212d92216,SIL_EmployeeDimension_SCDUpdate,Sq_W_EMPLOYEE_D,Source Qualifier,NO,11,122
