file_name,repository_name,folder_name,mapping_name,transformation_name,port_scope,port_name,datatype,precision,scale,port_type,expression
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Legal_Entity,string,30,0,INPUT/OUTPUT,Legal_Entity
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Performance_Unit,string,30,0,INPUT/OUTPUT,Performance_Unit
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Currency,string,30,0,INPUT/OUTPUT,Currency
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Account,string,30,0,INPUT/OUTPUT,Account
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Project,string,30,0,INPUT/OUTPUT,Project
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,AuditTrail,string,30,0,INPUT/OUTPUT,AuditTrail
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Amount,decimal,30,0,INPUT/OUTPUT,Amount
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,SCENARIO,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,YEAR,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,PERIOD,string,30,0,INPUT/OUTPUT,
