file_name,repository_name,folder_name,mapping_name,instance_name,instance_type,transformation_name,transformation_type,reusable_flag
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Lookup_perf1,TRANSFORMATION,Lookup_perf1,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_SUPERVISOR_BUSINESS_ORG,TRANSFORMATION,LKP_SUPERVISOR_BUSINESS_ORG,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_GRE_ID,TRANSFORMATION,LKP_GRE_ID,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_PER_PERIODS_OF_SERVICE,TRANSFORMATION,LKP_PER_PERIODS_OF_SERVICE,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_PAY_GRADE_RULES_F,TRANSFORMATION,LKP_PAY_GRADE_RULES_F,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,EXPTRANS1,TRANSFORMATION,EXPTRANS1,Expression,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_PER_PERFORMANCE_REVEIW_WS1,TRANSFORMATION,LKP_PER_PERFORMANCE_REVEIW_WS1,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Change_Amnt,TRANSFORMATION,Change_Amnt,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_currency_code,TRANSFORMATION,LKP_currency_code,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,ORG_ENTRY_DT,TRANSFORMATION,ORG_ENTRY_DT,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,JOB_ENTRY_DT,TRANSFORMATION,JOB_ENTRY_DT,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,PERFROMANCE_RATING1,TRANSFORMATION,PERFROMANCE_RATING1,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,GRD_ENTRY_DATE,TRANSFORMATION,GRD_ENTRY_DATE,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,WC_MNMGNT_INCENTIVES_D,TRANSFORMATION,WC_MNMGNT_INCENTIVES_D,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Exp_Salary1,TRANSFORMATION,Exp_Salary1,Expression,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,ADJ_SVC_DATE,TRANSFORMATION,ADJ_SVC_DATE,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Change_Amount,TRANSFORMATION,Change_Amount,Expression,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_ECRFLAG1,TRANSFORMATION,LKP_ECRFLAG1,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_TERM_PAAF,TRANSFORMATION,LKP_TERM_PAAF,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_SUPERVISOR_BUSINESS,TRANSFORMATION,LKP_SUPERVISOR_BUSINESS,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,W_DAY_D1,SOURCE,W_DAY_D,Source Definition,
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,MPLT_CURCY_CONVERSION_RATES_ToGlobalCurrenciesOnly,MAPPLET,MPLT_CURCY_CONVERSION_RATES_ToGlobalCurrenciesOnly,Mapplet,YES
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_TERM_PayBasis,TRANSFORMATION,LKP_TERM_PayBasis,Lookup Procedure,NO
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,W_EMPLOYEE_DS,TARGET,W_EMPLOYEE_DS,Target Definition,
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,X_CUSTOM,TRANSFORMATION,X_CUSTOM,Expression,NO
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,Exp_W_EMPLOYEE_DS_Integration_Id,TRANSFORMATION,Exp_W_EMPLOYEE_DS_Integration_Id,Expression,NO
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,mplt_BC_ORA_EmployeeDimension,MAPPLET,mplt_BC_ORA_EmployeeDimension,Mapplet,YES
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,mplt_SA_ORA_EmployeeDimension,MAPPLET,mplt_SA_ORA_EmployeeDimension,Mapplet,YES
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,mplt_Employee_Ins_Rej,MAPPLET,MPLT_EMPLOYEE_INS_REJ,Mapplet,YES
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,W_PROJ_COST_LINE_FS,TARGET,W_PROJ_COST_LINE_FS,Target Definition,
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,mplt_SA_ORA_ProjectCostLine,MAPPLET,mplt_SA_ORA_ProjectCostLine,Mapplet,YES
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,mplt_BC_ORA_ProjectCostLine_Elim,MAPPLET,JEG_mplt_BC_ORA_ProjectCostLine_Elim,Mapplet,YES
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,EXP_X_CUSTOM,TRANSFORMATION,EXP_X_CUSTOM,Expression,NO
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,Exp_W_PROJ_COST_LINE_FS_Integration_id,TRANSFORMATION,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_TRUNCATE_DIM,W_DUAL_D,TARGET,W_DUAL_D,Target Definition,
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_TRUNCATE_DIM,AP_INVOICES_ALL,SOURCE,AP_INVOICES_ALL,Source Definition,
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_TRUNCATE_DIM,SQ_AP_INVOICES_ALL,TRANSFORMATION,SQ_AP_INVOICES_ALL,Source Qualifier,NO
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,W_PROJ_COST_LINE_FS,TARGET,W_PROJ_COST_LINE_FS,Target Definition,
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,Exp_W_PROJ_COST_LINE_FS_Integration_id,TRANSFORMATION,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,EXP_X_CUSTOM,TRANSFORMATION,EXP_X_CUSTOM,Expression,NO
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,mplt_SA_ORA_ProjectCostLine,MAPPLET,mplt_SA_ORA_ProjectCostLine,Mapplet,YES
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,mplt_BC_ORA_ProjectCostLine,MAPPLET,mplt_BC_ORA_ProjectCostLine,Mapplet,YES
