column_name,datatype,file_name,folder_name,precision,repository_name,scale,source_name
W_UPDATE_DT,date,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,19,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
DELETE_FLG,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,1,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
DATASOURCE_NUM_ID,number,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,15,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
INTEGRATION_ID,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,80,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ETL_PROC_WID,number,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,15,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
X_CUSTOM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,10,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
SCENARIO,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
YEAR,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
PERIOD,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
LEGAL_ENTITY,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
PERFORMANCE_UNIT,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
CURRENCY,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
ACCOUNT,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
PROJECT,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
AUDITTRAIL,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
AMOUNT,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_ACTUALS_P_FS
ProjectNumber,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
manuallyescalatepar_flg,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,ProjectReview_Submitted
requiredinmonth_flg,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,ProjectReview_Submitted
submittedbyupn,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,150,BIINFAPROD_FLEX,0,ProjectReview_Submitted
submitteddate,datetime,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,23,BIINFAPROD_FLEX,3,ProjectReview_Submitted
forecastrevisionname,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,30,BIINFAPROD_FLEX,0,ProjectReview_Submitted
pmcomment,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,1000,BIINFAPROD_FLEX,0,ProjectReview_Submitted
dpecomment,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,1000,BIINFAPROD_FLEX,0,ProjectReview_Submitted
parcomment,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,1000,BIINFAPROD_FLEX,0,ProjectReview_Submitted
dpeprojectrating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
dpeprojectrating1,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
dpeprojectrating2,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
dpeprojectrating3,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
previoussubmitdate1,datetime,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,23,BIINFAPROD_FLEX,3,ProjectReview_Submitted
previoussubmitdate2,datetime,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,23,BIINFAPROD_FLEX,3,ProjectReview_Submitted
previoussubmitdate3,datetime,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,23,BIINFAPROD_FLEX,3,ProjectReview_Submitted
commercial_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commercial_comment,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,750,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commercial_actions,int,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,ProjectReview_Submitted
